,dataset,sample_idx,length,rotation,curve_x,curve_y,beak_radius_start
283,94,B,0.5,3.141592653589793,0.0,0.0,1.5
284,94,M,2.125,1.5707963267948966,0.0,0.0,1.5
285,95,A,3.75,0.0,0.0,0.0,1.5
286,95,B,0.5,3.141592653589793,0.0,0.0,2.5
287,95,M,2.125,1.5707963267948966,0.0,0.0,2.0
288,96,A,3.75,0.0,0.0,0.0,1.5
289,96,B,0.5,3.141592653589793,0.0,1.0,0.5
290,96,M,2.125,1.5707963267948966,0.0,0.5,1.0
291,97,A,3.75,0.0,0.0,0.0,1.5
292,97,B,0.5,3.141592653589793,0.0,1.0,1.5
293,97,M,2.125,1.5707963267948966,0.0,0.5,1.5
294,98,A,3.75,0.0,0.0,0.0,1.5
295,98,B,0.5,3.141592653589793,0.0,1.0,2.5
296,98,M,2.125,1.5707963267948966,0.0,0.5,2.0
297,99,A,3.75,0.0,0.0,0.0,1.5
298,99,B,0.5,3.141592653589793,1.0,-1.0,0.5
299,99,M,2.125,1.5707963267948966,0.5,-0.5,1.0
300,100,A,3.75,0.0,0.0,0.0,1.5
301,100,B,0.5,3.141592653589793,1.0,-1.0,1.5
302,100,M,2.125,1.5707963267948966,0.5,-0.5,1.5
303,101,A,3.75,0.0,0.0,0.0,1.5
304,101,B,0.5,3.141592653589793,1.0,-1.0,2.5
305,101,M,2.125,1.5707963267948966,0.5,-0.5,2.0
306,102,A,3.75,0.0,0.0,0.0,1.5
307,102,B,0.5,3.141592653589793,1.0,0.0,0.5
308,102,M,2.125,1.5707963267948966,0.5,0.0,1.0
309,103,A,3.75,0.0,0.0,0.0,1.5
310,103,B,0.5,3.141592653589793,1.0,0.0,1.5
311,103,M,2.125,1.5707963267948966,0.5,0.0,1.5
312,104,A,3.75,0.0,0.0,0.0,1.5
313,104,B,0.5,3.141592653589793,1.0,0.0,2.5
314,104,M,2.125,1.5707963267948966,0.5,0.0,2.0
315,105,A,3.75,0.0,0.0,0.0,1.5
316,105,B,0.5,3.141592653589793,1.0,1.0,0.5
317,105,M,2.125,1.5707963267948966,0.5,0.5,1.0
318,106,A,3.75,0.0,0.0,0.0,1.5
319,106,B,0.5,3.141592653589793,1.0,1.0,1.5
320,106,M,2.125,1.5707963267948966,0.5,0.5,1.5
321,107,A,3.75,0.0,0.0,0.0,1.5
322,107,B,0.5,3.141592653589793,1.0,1.0,2.5
